"Artist","Song","Популярность в США","Популярность в СНГ"
"The Animal in Me","Kill Everybody","0.17","0.01"
"Invent","Unsainted","0.15","0.01"
"The Anix","Through the Glass","0.09","0.02"
"August Burns Red","Afterlife","0","0"
"One Desire","Animal I have become","0.1","0.02"
"Shezzers","Fever","0.08","0.03"
"Nirvana","Anastasia","0","0"
"AC/DC","Raining Blood","0.17","0.01"
"Led Zeppelin","Bleeding","0.06","0.02"
"Deep Purple","Smells like Teen Spirit","0.14","0.01"
"Michael Jackson","Highway to Hell","0.1","0.01"
"Muse","Smoke on the Water","0.16","0.01"
"Skrillex","Brick in the Wall","0.09","0.02"
"Slipknot","You are not Alone","0.09","0.02"
"Stone Sour","Hysteria","0","0.01"
"Avenged Sevenfold","Kill Everybody","0","0.04"
"Three Days Grace","Unsainted","0.04","0.02"
"Bullet for my Valentine","Through the Glass","0.13","0.01"
"Slash","Afterlife","0.13","0.01"
"Slayer","Animal I have become","0.14","0"
"Five Finger Death Punch","Fever","0.14","0"
"Fozzy","Anastasia","0","0"
"Bon Jovi","Raining Blood","0.09","0.02"
"Motionless in White","Bleeding","0.14","0"
"Falling in Reverse","Smells like Teen Spirit","0","0"
"Metallica","Highway to Hell","0.12","0.02"
"Korn","Smoke on the Water","0.13","0.01"
"IAMX","Brick in the Wall","0.05","0.03"
"Caligula's Horse","You are not Alone","0.15","0.01"
"The Killers","Hysteria","0.01","0.02"
"Halfives","Kill Everybody","0.13","0"
"Blueshift","Unsainted","0.14","0.02"
"Soilwork","Through the Glass","0","0"
"Soul Extract","Afterlife","0.09","0.02"
"Infant Annihilator","Animal I have become","0.13","0.01"
"Red","Fever","0.1","0.02"
"Ocean Grove","Anastasia","0.14","0.01"
"Stigmata","Raining Blood","0.07","0.03"
"Кино","Bleeding","0.08","0.02"
"Баста","Smells like Teen Spirit","0","0"
"Каста","Highway to Hell","0.14","0"
"Oxxymiron","Smoke on the Water","0.17","0.01"
"Emmure","Brick in the Wall","0.13","0.01"
"RAMMSTEIN","You are not Alone","0","0.02"
"Emograte","Hysteria","0.17","0.01"
"Oomph!","Kill Everybody","0","0"
"Fit for a King","Unsainted","0.1","0.02"
"Code Orange","Through the Glass","0.1","0.01"
"Aviators","Afterlife","0.05","0.03"
"Kodaline","Animal I have become","0.13","0"
"Led Zeppelin","Fever","0.1","0.02"
"Deep Purple","Anastasia","0.06","0.03"
"Michael Jackson","Raining Blood","0.13","0"
"Muse","Bleeding","0.09","0.02"
"Ocean Grove","Smells like Teen Spirit","0.11","0.01"
"Stigmata","Highway to Hell","0.04","0.01"
"Кино","Smoke on the Water","0.14","0.01"
"Баста","Brick in the Wall","0.17","0.01"
"Bullet for my Valentine","You are not Alone","0.09","0.02"
"Slash","Hysteria","0.06","0.01"
"Slayer","Kill Everybody","0.17","0.01"
"Five Finger Death Punch","Unsainted","0.05","0.01"
"Fozzy","Through the Glass","0.08","0.02"
"Bon Jovi","Silverstein","0.14","0"
"Motionless in White","Apocalyptica","0.1","0.03"
"Falling in Reverse","Captives","0.06","0.02"
"The Killers","Nightwish","0.1","0.01"
"Halfives","Moonspell","0","0"
"Blueshift","Machine Head","0.09","0.02"
"Soilwork","Machine Head","0.16","0.01"
"Soul Extract","Viscera","0.14","0"
"Infant Annihilator","Phantogram","0.17","0.01"
"Red","Ivy Rye","0.1","0.01"
"Ocean Grove","Boston Manor","0.09","0.02"
"Stigmata","PVRIS","0.14","0.01"
"Кино","Fever 333","0.1","0.01"
"Баста","Asking Alexandria","0","0"
"Каста","Bush","0.09","0.02"
"Oxxymiron","He-Nis-Ra","0.1","0.01"
"Motionless in White","Nova Twins","0.04","0.02"
"Falling in Reverse","Kill Everybody","0.14","0"
"The Killers","Unsainted","0.05","0.01"
"Halfives","Through the Glass","0.09","0.05"
"Каста","Afterlife","0.13","0"
"Oxxymiron","Animal I have become","0.16","0.01"
"Motionless in White","Fever","0.04","0.01"
"Каста","Anastasia","0.14","0.01"
"Oxxymiron","Raining Blood","0","0"
"Motionless in White","Bleeding","0.13","0.01"
"Каста","Smells like Teen Spirit","0","0"
"Oxxymiron","Highway to Hell","0.13","0.01"
"Nirvana","Smoke on the Water","0.13","0"
"AC/DC","Brick in the Wall","0.13","0"
"Led Zeppelin","You are not Alone","0","0"
"Led Zeppelin","Hysteria","0","0"
"Deep Purple","Kill Everybody","0","0"
"Michael Jackson","Unsainted","0.09","0.02"
"Muse","Through the Glass","0.06","0.02"
"Skrillex","Silverstein","0.09","0.02"
"Slipknot","Apocalyptica","0.17","0.01"
"Stone Sour","Captives","0.09","0.02"
"Avenged Sevenfold","Nightwish","0.11","0.01"
"Three Days Grace","Moonspell","0.12","0.01"
"Apocalyptica","Machine Head","0.16","0.01"
"Lumen","Machine Head","0.13","0"
"Biffy Clyro","Viscera","0.16","0.01"
"Alazka","Phantogram","0.17","0.01"
"Greenday","Ivy Rye","0.02","0.03"
"Ozzy Osbourne","Boston Manor","0.1","0.01"
"Body Count","PVRIS","0.1","0.01"
"Heaven Shall Burn","Fever 334","0.16","0.01"
"Blind Channel","Asking Alexandria","0.03","0.01"
"A War Within","Bush","0.17","0.01"
"Mayday Parade","He-Nis-Ra","0.13","0"
"Silverstein","Nova Twins","0.13","0.01"
"Apocalyptica","Kill Everybody","0.13","0"
"Lumen","Unsainted","0","0"
"Biffy Clyro","Through the Glass","0","0"
"Alazka","Afterlife","0.13","0.01"
"Greenday","Animal I have become","0.13","0.01"
"Mayday Parade","Fever","0.16","0.01"
"Silverstein","Anastasia","0.12","0.02"
"Apocalyptica","Raining Blood","0.13","0.01"
"Lumen","Bleeding","0.15","0.01"
"Mayday Parade","Smells like Teen Spirit","0.14","0.01"
"Silverstein","Highway to Hell","0.09","0.02"
"Apocalyptica","Smoke on the Water","0.13","0.01"
"Five Finger Death Punch","Brick in the Wall","0.07","0.02"
"Fozzy","You are not Alone","0.09","0.02"
"Bon Jovi","Hysteria","0.11","0.02"
"Motionless in White","Kill Everybody","0","0.02"
"Falling in Reverse","Unsainted","0.09","0.02"
"Metallica","Through the Glass","0.16","0.01"
"Korn","Silverstein","0.09","0.02"
"IAMX","Apocalyptica","0.13","0.02"
"Caligula's Horse","Captives","0","0.01"
"Каста","Nightwish","0","0"
"Oxxymiron","Moonspell","0.09","0.03"
"Nirvana","Machine Head","0","0.04"
"AC/DC","Machine Head","0.07","0.02"
"Led Zeppelin","Viscera","0.1","0.01"
"Led Zeppelin","Phantogram","0.04","0.04"
"Deep Purple","Ivy Rye","0","0"
"Michael Jackson","Boston Manor","0.09","0.02"
"Muse","PVRIS","0.13","0"
"Skrillex","Fever 335","0.07","0.03"
"Slipknot","Asking Alexandria","0.12","0"
"Stone Sour","Bush","0.11","0.02"
"Avenged Sevenfold","He-Nis-Ra","0.09","0.02"
"Three Days Grace","Nova Twins","0.13","0"
"Apocalyptica","Kill Everybody","0.09","0.02"
"Lumen","Unsainted","0.13","0"
"Biffy Clyro","Through the Glass","0.14","0.02"
"Alazka","Afterlife","0.1","0.03"
"Greenday","Animal I have become","0.11","0.02"
"Ozzy Osbourne","Fever","0.16","0.01"
"Body Count","Anastasia","0.1","0.01"
"Heaven Shall Burn","Raining Blood","0.09","0.01"
"Blind Channel","Bleeding","0.12","0"
"A War Within","Smells like Teen Spirit","0","0"
"Mayday Parade","Highway to Hell","0.16","0.01"
"Silverstein","Smoke on the Water","0.13","0"
"Apocalyptica","Brick in the Wall","0.16","0.01"
"Lumen","You are not Alone","0","0"
"Biffy Clyro","Hysteria","0.08","0.02"
"Alazka","Kill Everybody","0.07","0.03"
"Greenday","Unsainted","0","0"
"Michael Jackson","Through the Glass","0.13","0"
"Muse","Silverstein","0.13","0.01"
"Skrillex","Apocalyptica","0","0.01"
"Slipknot","Captives","0.08","0.02"
"Stone Sour","Nightwish","0.16","0.01"
"Avenged Sevenfold","Moonspell","0.1","0.01"
"Three Days Grace","Machine Head","0.16","0.01"
"Bullet for my Valentine","Machine Head","0.16","0.01"
"Slash","Viscera","0","0"
"Slayer","Phantogram","0.08","0.02"
"Five Finger Death Punch","Ivy Rye","0.13","0.02"
"Fozzy","Boston Manor","0.16","0.01"
"Bon Jovi","PVRIS","0.16","0.01"
"Motionless in White","Fever 336","0","0"
"Falling in Reverse","Asking Alexandria","0.13","0"
"Metallica","Bush","0.07","0.02"
"Korn","He-Nis-Ra","0.15","0.01"
"IAMX","Nova Twins","0.16","0.01"
"Oxxymiron","Kill Everybody","0.13","0"
"Nirvana","Unsainted","0.13","0.01"
"AC/DC","Through the Glass","0.08","0.03"
"Led Zeppelin","Afterlife","0","0"
"Led Zeppelin","Animal I have become","0.08","0.02"
"Deep Purple","Fever","0.12","0"
"Michael Jackson","Anastasia","0.08","0.02"
"Muse","Raining Blood","0.13","0.01"
"Skrillex","Bleeding","0.08","0.02"
"Slipknot","Smells like Teen Spirit","0.13","0"
"Stone Sour","Highway to Hell","0.13","0.01"
"Avenged Sevenfold","Smoke on the Water","0.1","0.01"
"Alazka","Brick in the Wall","0","0"
"Greenday","You are not Alone","0","0"
"Ozzy Osbourne","Hysteria","0","0"
"Body Count","Kill Everybody","0.16","0.01"
"Heaven Shall Burn","Unsainted","0.06","0.03"
"Blind Channel","Through the Glass","0","0.01"
"A War Within","Silverstein","0","0.01"
"Mayday Parade","Apocalyptica","0.15","0.01"
"Silverstein","Smells like Teen Spirit","0.13","0.01"
"Apocalyptica","Highway to Hell","0.13","0.01"
"Captives","Smoke on the Water","0.05","0.04"
"Nightwish","Brick in the Wall","0.08","0.02"
"Moonspell","You are not Alone","0.08","0.02"
"Machine Head","Hysteria","0.12","0"
"Machine Head","Kill Everybody","0.16","0.01"
"Viscera","Unsainted","0.08","0.02"
"Phantogram","Through the Glass","0.08","0.02"
"Ivy Rye","Afterlife","0.03","0"
"Boston Manor","Animal I have become","0.01","0.03"
"PVRIS","Fever","0.12","0.01"
"Fever 341","Anastasia","0.08","0.02"
"Asking Alexandria","Raining Blood","0","0.01"
"Bush","Bleeding","0.1","0.02"
"He-Nis-Ra","Sandpaper","0.15","0.01"
"Nova Twins","It's My Life","0.06","0.01"
"Nirvana","Headache","0","0.01"
"AC/DC","Silence","0.08","0.02"
"Led Zeppelin","One","0","0"
"Deep Purple","Cold","0","0"
"Michael Jackson","Solway Firth","0.16","0.01"
"Muse","Why not?","0","0"
"Skrillex","Stop it","0.13","0"
"Slipknot","I can't take this anymore","0.12","0"
"Stone Sour","Snow","0","0"
"Avenged Sevenfold","Hello","0.16","0.01"
"Three Days Grace","Here we go again","0.16","0.01"
"Bullet for my Valentine","Incredible","0.07","0.03"
"Slash","Summer","0.16","0.01"
"Slayer","Cold Reader","0.13","0.01"
"Five Finger Death Punch","Well","0.03","0.01"
"Fozzy","Группа крови","0.13","0.02"
"Bon Jovi","Мама","0","0"
"Motionless in White","Вокруг шум","0","0"
"Falling in Reverse","А я и не знал","0.05","0.01"
"Metallica","WTF?","0.16","0.01"
"Korn","Deutschland","0.16","0.01"
"IAMX","New-York","0.04","0.02"
"Caligula's Horse","Clown","0.13","0.01"
"The Killers","Nice boobs","0","0.02"
"Halfives","I don't want this","0.16","0.01"
"Blueshift","Anymore","0.13","0.01"
"Soilwork","Rufuss","0.12","0"
"Soul Extract","Mann","0.09","0.02"
"Infant Annihilator","Stupid things","0.09","0.01"
"Red","You're strange","0.12","0"
"Ocean Grove","Zombie","0.16","0.01"
"Stigmata","Plague","0.16","0.01"
"Кино","No more","0.14","0.01"
"Баста","Спокойная ночь","0.08","0.02"
"Каста","Моя игра","0.07","0.02"
"Oxxymiron","Smells like Teen Spirit","0","0"
"Emmure","Highway to Hell","0.14","0"
"RAMMSTEIN","Smoke on the Water","0.05","0"
"Emograte","Brick in the Wall","0.12","0"
"Oomph!","You are not Alone","0.13","0.01"
"Fit for a King","Hysteria","0.12","0"
"Code Orange","Kill Everybody","0.14","0.01"
"Aviators","Unsainted","0.12","0"
"Kodaline","Through the Glass","0.06","0.02"
"Led Zeppelin","Afterlife","0.08","0.02"
"Deep Purple","Animal I have become","0","0"
"Michael Jackson","Fever","0.08","0.02"
"Muse","Anastasia","0","0"
"Ocean Grove","Raining Blood","0.12","0"
"Stigmata","Bleeding","0.02","0.03"
"Кино","Sandpaper","0","0"
"Баста","It's My Life","0.02","0.01"
"Bullet for my Valentine","Headache","0.16","0.01"
"Slash","Silence","0.1","0.03"
"Slayer","One","0.11","0.01"
"Five Finger Death Punch","Cold","0.16","0.01"
"Fozzy","Solway Firth","0","0"
"Bon Jovi","Why not?","0","0"
"Motionless in White","Stop it","0.16","0.01"
"Falling in Reverse","I can't take this anymore","0.05","0.01"
"The Killers","Snow","0.09","0.01"
"Halfives","Hello","0.1","0.02"
"Blueshift","Here we go again","0.14","0.01"
"Soilwork","Incredible","0.08","0.02"
"Soul Extract","Summer","0.12","0.01"
"Infant Annihilator","Cold Reader","0.16","0.01"
"Red","Well","0.08","0.02"
"Ocean Grove","Группа крови","0.12","0"
"Stigmata","Мама","0.08","0.02"
"Кино","Вокруг шум","0.11","0.01"
"Баста","А я и не знал","0","0"
"Каста","WTF?","0.08","0.02"
"Oxxymiron","Deutschland","0.09","0.01"
"Motionless in White","New-York","0.04","0.01"
"Falling in Reverse","Clown","0.09","0.01"
"The Killers","Nice boobs","0","0"
"Halfives","I don't want this","0","0.02"
"Каста","Anymore","0.13","0"
"Oxxymiron","Rufuss","0.15","0.01"
"Motionless in White","Mann","0.11","0.01"
"Каста","Stupid things","0.12","0"
"Oxxymiron","You're strange","0","0"
"Motionless in White","Zombie","0.13","0"
"Каста","Plague","0","0.01"
"Oxxymiron","No more","0.08","0.02"
"Nirvana","Спокойная ночь","0.13","0.01"
"AC/DC","Моя игра","0.09","0.01"
"Led Zeppelin","Smells like Teen Spirit","0.09","0.01"
"Led Zeppelin","Highway to Hell","0.13","0.01"
"Deep Purple","Smoke on the Water","0.13","0.01"
"Michael Jackson","Brick in the Wall","0","0"
"Muse","You are not Alone","0.09","0.01"
"Skrillex","Hysteria","0.15","0.01"
"Slipknot","Kill Everybody","0.07","0.02"
"Stone Sour","Unsainted","0.08","0.02"
"Avenged Sevenfold","Through the Glass","0.02","0"
"Three Days Grace","Afterlife","0.02","0.01"
"Apocalyptica","Animal I have become","0.09","0.01"
"Lumen","Fever","0.15","0.01"
"Biffy Clyro","Anastasia","0","0"
"Alazka","Raining Blood","0.13","0"
"Greenday","Bleeding","0","0.01"
"Ozzy Osbourne","Sandpaper","0.14","0.02"
"Body Count","It's My Life","0","0"
"Heaven Shall Burn","Headache","0","0"
"Blind Channel","Silence","0.08","0.02"
"A War Within","One","0","0.01"
"Mayday Parade","Cold","0.08","0.02"
"Silverstein","Solway Firth","0.06","0.02"
"Apocalyptica","Why not?","0.13","0.02"
"Lumen","Stop it","0.13","0.01"
"Biffy Clyro","I can't take this anymore","0.1","0.01"
"Alazka","Snow","0.13","0.01"
"Greenday","Hello","0.05","0.02"
"Mayday Parade","Here we go again","0","0"
"Silverstein","Incredible","0.1","0"
"Apocalyptica","Summer","0","0.04"
"Lumen","Cold Reader","0.13","0.01"
"Mayday Parade","Well","0.12","0"
"Silverstein","Группа крови","0.12","0"
"Apocalyptica","Мама","0","0"
"Five Finger Death Punch","Вокруг шум","0.16","0.01"
"Fozzy","А я и не знал","0.15","0.01"
"Bon Jovi","WTF?","0","0"
"Motionless in White","Deutschland","0.04","0.02"
"Falling in Reverse","New-York","0","0"
"Metallica","Clown","0","0"
"Korn","Nice boobs","0.08","0.01"
"IAMX","I don't want this","0.12","0.01"
"Caligula's Horse","Anymore","0","0"
"Каста","Rufuss","0.15","0.02"
"Oxxymiron","Mann","0.15","0.01"
"Nirvana","Stupid things","0.11","0.02"
"AC/DC","You're strange","0.08","0.02"
"Led Zeppelin","Zombie","0.13","0"
"Led Zeppelin","Plague","0.12","0.01"
"Deep Purple","No more","0.12","0"
"Michael Jackson","Спокойная ночь","0.11","0.01"
"Muse","Моя игра","0.13","0.02"
"Skrillex","Smells like Teen Spirit","0.08","0.02"
"Slipknot","Highway to Hell","0.14","0.01"
"Stone Sour","Smoke on the Water","0","0"
"Avenged Sevenfold","Brick in the Wall","0.08","0.02"
"Three Days Grace","You are not Alone","0","0"
"Apocalyptica","Hysteria","0.12","0.01"
"Lumen","Kill Everybody","0","0"
"Biffy Clyro","Unsainted","0","0"
"Alazka","Through the Glass","0.07","0.02"
"Greenday","Afterlife","0","0"
"Ozzy Osbourne","Animal I have become","0.01","0"
"Body Count","Fever","0","0.03"
"Heaven Shall Burn","Anastasia","0.11","0.01"
"Blind Channel","Raining Blood","0.12","0.01"
"A War Within","Bleeding","0.04","0.01"
"Mayday Parade","Smells like Teen Spirit","0.15","0.01"
"Silverstein","Highway to Hell","0.14","0.02"
"Apocalyptica","Smoke on the Water","0.15","0"
"Lumen","Brick in the Wall","0.15","0"
"Biffy Clyro","You are not Alone","0.15","0"
"Alazka","Hysteria","0","0"
"Greenday","Kill Everybody","0.13","0.01"
"Michael Jackson","Unsainted","0.05","0.02"
"Muse","Through the Glass","0.08","0.02"
"Skrillex","Afterlife","0","0"
"Slipknot","Animal I have become","0.13","0.01"
"Stone Sour","Fever","0.13","0.03"
"Avenged Sevenfold","Anastasia","0","0"
"Three Days Grace","Raining Blood","0.08","0.02"
"Bullet for my Valentine","Bleeding","0","0"
"Slash","Smells like Teen Spirit","0.08","0.02"
"Slayer","Highway to Hell","0.16","0"
"Five Finger Death Punch","Smoke on the Water","0.12","0"
"Fozzy","Brick in the Wall","0.05","0.02"
"Bon Jovi","You are not Alone","0.15","0.01"
"Motionless in White","Hysteria","0.14","0.01"
"Falling in Reverse","Kill Everybody","0.09","0.01"
"Metallica","Unsainted","0.08","0.02"
"Korn","Through the Glass","0.13","0.02"
"IAMX","Afterlife","0.12","0.02"
"Oxxymiron","Animal I have become","0.07","0.02"
"Nirvana","Fever","0.12","0.01"
"AC/DC","Anastasia","0.08","0.02"
"Led Zeppelin","Raining Blood","0.11","0.02"
"Led Zeppelin","Bleeding","0.12","0.01"
"Deep Purple","Smells like Teen Spirit","0.07","0.01"
"Michael Jackson","Highway to Hell","0.08","0.02"
"Muse","Smoke on the Water","0.11","0.01"
"Skrillex","Brick in the Wall","0.06","0.02"
"Slipknot","You are not Alone","0.13","0.01"
"Stone Sour","Hysteria","0","0"
"Avenged Sevenfold","Kill Everybody","0.08","0.02"
"Alazka","Unsainted","0","0.02"
"Greenday","Through the Glass","0.13","0"
"Ozzy Osbourne","Afterlife","0.11","0.01"
"Body Count","Animal I have become","0.08","0.02"
"Heaven Shall Burn","Fever","0","0.01"
"Blind Channel","Anastasia","0.12","0"
"A War Within","Raining Blood","0.08","0.02"
"Mayday Parade","Bleeding","0.02","0.01"
"Silverstein","Smells like Teen Spirit","0.12","0"
"Apocalyptica","Highway to Hell","0.15","0.01"
"Captives","Smoke on the Water","0.14","0.01"
"Nightwish","Brick in the Wall","0.06","0"
"Moonspell","You are not Alone","0.11","0.01"
"Machine Head","Hysteria","0.11","0.01"
"Machine Head","Kill Everybody","0.08","0.02"
"Viscera","Unsainted","0.07","0.01"
"Phantogram","Through the Glass","0.15","0.01"
"Ivy Rye","Silverstein","0.15","0.01"
"Boston Manor","Apocalyptica","0","0"
"PVRIS","Captives","0.12","0"
"Fever 342","Nightwish","0","0"
"Asking Alexandria","Moonspell","0.09","0.01"
"Bush","Machine Head","0.09","0.01"
"He-Nis-Ra","Machine Head","0.13","0.02"
"Nova Twins","Viscera","0.12","0"
"Nirvana","Phantogram","0","0.01"
"AC/DC","Ivy Rye","0.13","0"
"Led Zeppelin","Boston Manor","0.13","0"
"Deep Purple","PVRIS","0","0"
"Michael Jackson","Fever 333","0","0.01"
"Muse","Asking Alexandria","0.09","0.01"
"Skrillex","Bush","0.12","0.01"
"Slipknot","He-Nis-Ra","0.12","0.02"
"Stone Sour","Nova Twins","0.08","0.02"
"Avenged Sevenfold","Kill Everybody","0.15","0.01"
"Three Days Grace","Unsainted","0.05","0.01"
"Bullet for my Valentine","Through the Glass","0.07","0.02"
"Slash","Afterlife","0","0"
"Slayer","Animal I have become","0","0"
"Five Finger Death Punch","Fever","0.12","0"
"Fozzy","Anastasia","0.11","0.01"
"Bon Jovi","Raining Blood","0.15","0.01"
"Motionless in White","Bleeding","0.13","0.01"
"Falling in Reverse","Smells like Teen Spirit","0.15","0.01"
"Metallica","Highway to Hell","0.12","0.01"
"Korn","Smoke on the Water","0.08","0.02"
"IAMX","Brick in the Wall","0.08","0.02"
"Caligula's Horse","You are not Alone","0.14","0.01"
"The Killers","Hysteria","0.15","0.01"
"Halfives","Kill Everybody","0","0"
"Blueshift","Unsainted","0.08","0.02"
"Soilwork","Through the Glass","0.08","0.02"
"Soul Extract","Silverstein","0.12","0.02"
"Infant Annihilator","Apocalyptica","0.14","0.01"
"Red","Captives","0.08","0.02"
"Ocean Grove","Nightwish","0","0"
"Stigmata","Moonspell","0.15","0.01"
"Кино","Machine Head","0.12","0.01"
"Баста","Machine Head","0.08","0.02"
"Каста","Viscera","0.12","0"
"Oxxymiron","Phantogram","0","0"
"Emmure","Ivy Rye","0.09","0.01"
"RAMMSTEIN","Boston Manor","0.15","0.01"
"Emograte","PVRIS","0.12","0"
"Oomph!","Fever 334","0.13","0.01"
"Fit for a King","Asking Alexandria","0.15","0.01"
"Code Orange","Bush","0","0"
"Aviators","He-Nis-Ra","0","0"
"Kodaline","Nova Twins","0.08","0.02"
"Led Zeppelin","Kill Everybody","0.15","0.01"
"Deep Purple","Unsainted","0.12","0"
"Michael Jackson","Through the Glass","0.08","0.02"
"Muse","Afterlife","0","0"
"Ocean Grove","Animal I have become","0.14","0.01"
"Stigmata","Fever","0.08","0.02"
"Кино","Anastasia","0.14","0.01"
"Баста","Raining Blood","0.12","0"
"Bullet for my Valentine","Bleeding","0.15","0.01"
"Slash","Smells like Teen Spirit","0.11","0.01"
"Slayer","Highway to Hell","0","0.02"
"Five Finger Death Punch","Smoke on the Water","0.08","0.01"
"Fozzy","Brick in the Wall","0.15","0.01"
"Bon Jovi","You are not Alone","0.15","0.01"
"Motionless in White","Hysteria","0","0"
"Falling in Reverse","Kill Everybody","0.15","0.01"
"The Killers","Unsainted","0","0"
"Halfives","Through the Glass","0.09","0.02"
"Blueshift","Silverstein","0.11","0"
"Soilwork","Apocalyptica","0","0.01"
"Soul Extract","Captives","0.13","0"
"Infant Annihilator","Nightwish","0.13","0"
"Red","Moonspell","0.13","0"
"Ocean Grove","Machine Head","0","0.04"
"Stigmata","Machine Head","0.13","0"
"Кино","Viscera","0.13","0"
"Баста","Phantogram","0.13","0"
"Каста","Ivy Rye","0.13","0"
"Oxxymiron","Boston Manor","0.13","0"
"Motionless in White","PVRIS","0.13","0"
"Falling in Reverse","Fever 335","0.13","0"
"The Killers","Asking Alexandria","0","0.04"
"Halfives","Bush","0.12","0.01"
"Каста","He-Nis-Ra","0","0.01"
"Oxxymiron","Nova Twins","0.05","0.01"
"Motionless in White","Kill Everybody","0","0"
"Каста","Unsainted","0.08","0.02"
"Oxxymiron","Through the Glass","0","0.01"
"Motionless in White","Afterlife","0","0"
"Каста","Animal I have become","0.08","0.02"
"Oxxymiron","Fever","0.11","0.01"
"Nirvana","Anastasia","0","0"
"AC/DC","Raining Blood","0.12","0.01"
"Led Zeppelin","Bleeding","0.14","0.01"
"Led Zeppelin","Smells like Teen Spirit","0.15","0.01"
"Deep Purple","Highway to Hell","0.15","0.01"
"Michael Jackson","Smoke on the Water","0.08","0.03"
"Muse","Brick in the Wall","0.14","0.01"
"Skrillex","You are not Alone","0.03","0"
"Slipknot","Hysteria","0","0.04"
"Stone Sour","Kill Everybody","0.15","0.01"
"Avenged Sevenfold","Unsainted","0.06","0.03"
"Three Days Grace","Through the Glass","0.08","0.01"
"Apocalyptica","Silverstein","0.08","0.02"
"City of Souls","Apocalyptica","0.16","0"
"Four Year Strong","Captives","0.07","0.02"
"Spiritbox","Nightwish","0","0"
"The Animal in Me","Moonspell","0.1","0.01"
"Invent","Machine Head","0.15","0.01"
"The Anix","Machine Head","0.15","0.01"
"August Burns Red","Viscera","0.13","0.01"
"One Desire","Phantogram","0.14","0.01"
"Shezzers","Ivy Rye","0.08","0.02"
"Nirvana","Boston Manor","0.14","0.01"
"AC/DC","PVRIS","0.09","0.01"
"Led Zeppelin","Fever 336","0.15","0.01"
"Deep Purple","Asking Alexandria","0.09","0.01"
"Michael Jackson","Bush","0.09","0.01"
"Muse","He-Nis-Ra","0.15","0.01"
"Skrillex","Nova Twins","0.13","0.01"
"Slipknot","Kill Everybody","0","0.02"
"Stone Sour","Unsainted","0.05","0.01"
"Avenged Sevenfold","Through the Glass","0","0.01"
"Three Days Grace","Afterlife","0","0"
"Bullet for my Valentine","Animal I have become","0.12","0.01"
"Slash","Fever","0.11","0.01"
"Slayer","Anastasia","0.02","0.04"
"Five Finger Death Punch","Raining Blood","0.09","0"
"Fozzy","Bleeding","0","0"
"Bon Jovi","Smells like Teen Spirit","0.11","0.02"
"Motionless in White","Highway to Hell","0.11","0"
"Falling in Reverse","Smoke on the Water","0","0.01"
"Metallica","Brick in the Wall","0.14","0.01"
"Korn","You are not Alone","0","0"
"IAMX","Hysteria","0.14","0.01"
"Caligula's Horse","Kill Everybody","0.07","0.01"
"The Killers","Unsainted","0.15","0.01"
"Halfives","Through the Glass","0.1","0.01"
"Blueshift","Silverstein","0.15","0.01"
"Soilwork","Apocalyptica","0","0"
"Soul Extract","Here we go again","0.15","0.01"
"Infant Annihilator","Incredible","0","0.03"
"Red","Summer","0.15","0.01"
"Ocean Grove","Cold Reader","0.04","0.03"
"Stigmata","Well","0.11","0"
"Кино","Группа крови","0.04","0.01"
"Баста","Мама","0","0"
"Каста","Вокруг шум","0","0.01"
"Oxxymiron","А я и не знал","0.15","0.01"
"Emmure","WTF?","0.09","0.01"
"RAMMSTEIN","Deutschland","0.1","0.01"
"Emograte","New-York","0.01","0.01"
"Oomph!","Clown","0.08","0.02"
"Fit for a King","Nice boobs","0.13","0.01"
"Code Orange","I don't want this","0.11","0.02"
"Aviators","Anymore","0.14","0.01"
"Kodaline","Rufuss","0","0.01"
"Led Zeppelin","Mann","0","0"
"Deep Purple","Stupid things","0.12","0"
"Michael Jackson","You're strange","0.14","0.01"
"Muse","Zombie","0.11","0.01"
"Ocean Grove","Plague","0.15","0.01"
"Stigmata","No more","0.1","0.02"
"Кино","Спокойная ночь","0.14","0.01"
"Баста","Моя игра","0.14","0.01"
"Bullet for my Valentine","Smells like Teen Spirit","0.03","0"
"Slash","Highway to Hell","0","0.03"
"Slayer","Smoke on the Water","0","0"
"Five Finger Death Punch","Brick in the Wall","0.11","0.01"
"Fozzy","You are not Alone","0.15","0.01"
"Bon Jovi","Hysteria","0.12","0.01"
"Motionless in White","Kill Everybody","0.11","0"
"Falling in Reverse","Unsainted","0.12","0.01"
"The Killers","Through the Glass","0.09","0.01"
"Halfives","Afterlife","0.1","0.01"
"Blueshift","Animal I have become","0.12","0"
"Soilwork","Fever","0.06","0.02"
"Soul Extract","Anastasia","0.12","0.01"
"Infant Annihilator","Raining Blood","0","0"
"Red","Bleeding","0.14","0.01"
"Ocean Grove","Sandpaper","0.08","0.02"
"Stigmata","It's My Life","0.08","0.01"
"Кино","Headache","0","0"
"Баста","Silence","0.13","0.01"
"Каста","One","0.14","0.01"
"Oxxymiron","Cold","0","0"
"Motionless in White","Solway Firth","0.09","0.01"
"Falling in Reverse","Why not?","0.03","0.03"
"The Killers","Stop it","0.07","0.02"
"Halfives","I can't take this anymore","0","0"
"Каста","Snow","0.14","0.01"
"Oxxymiron","Hello","0.15","0.01"
"Motionless in White","Here we go again","0.08","0.02"
"Каста","Incredible","0","0"
"Oxxymiron","Summer","0.14","0.01"
